,model,loss,accuracy,gflops,type_Arch,type_training
20,ens_adv_inception_resnet_v2,0.030088311,0.920673072,12.976317,resnet,None
126,tf_efficientnetv2_l,0.028397337,0.920673072,23.9733274,efficientnet,None
314,tf_efficientnet_b2_ns,0.029074026,0.920673072,1.2797543,efficientnet,None
269,efficientnet_b3a,0.030764671,0.916118443,1.9044593,efficientnet,None
47,tf_efficientnet_b0_ns,0.03660785,0.915738881,0.733985,efficientnet,None
264,tf_efficientnet_b4_ns,0.042861745,0.915738881,2.9523384,efficientnet,None
13,tf_efficientnet_b3_ns,0.03459331,0.91409415,1.8767574,efficientnet,None
261,tf_mixnet_s,0.026841288,0.91244936,0.4463242,None,Mixed Depthwise Convolutional Kernels
64,tf_efficientnet_b7_ns,0.037067465,0.909539461,10.2644413,efficientnet,None
219,inception_resnet_v2,0.032677487,0.908780336,12.976317,resnet,None
165,xception71,0.030815685,0.907515168,19.7459894,None,None
249,efficientnet_b2a,0.040575132,0.907515168,1.3008235,efficientnet,None
77,mixnet_m,0.034871168,0.905490875,0.6646135,None,Mixed Depthwise Convolutional Kernels
191,tf_efficientnetv2_b0,0.031811338,0.905490875,1.2952092,efficientnet,None
293,tf_efficientnet_b7,0.033475,0.905490875,10.2644413,efficientnet,None
279,gluon_resnet50_v1b,0.030200152,0.904225707,8.10607,resnet,None
97,mixnet_s,0.028076451,0.903846145,0.4682276,None,Mixed Depthwise Convolutional Kernels
16,tf_efficientnetv2_b1,0.029438633,0.902960539,1.8907553,efficientnet,None
253,ecaresnet26t,0.025340205,0.902960539,5.1510979,None,Efficient Channel Attention
127,tf_efficientnet_b1_ns,0.031835958,0.902580976,1.1016589,efficientnet,None
140,tf_efficientnetv2_b3,0.038137354,0.901315808,3.0403388,efficientnet,None
244,nf_regnet_b1,0.026855992,0.901315808,0.0091473,Normalizer-Free,regular network (Designing Network Design Spaces)
2,ese_vovnet19b_dw,0.026438741,0.900936246,2.6361491,Variety of View Network,effective squeeze-extraction
3,gcresnet33ts,0.028402699,0.900936246,7.2364518,None,None
42,tf_efficientnet_lite4,0.035685156,0.900936246,2.6520504,efficientnet,None
60,dpn68b,0.033648767,0.900936246,4.6462436,None,None
82,tf_efficientnet_b6,0.046952434,0.900936246,6.6533498,efficientnet,None
130,tinynet_b,0.036133099,0.900936246,0.5354702,tinynet,None
167,tf_efficientnet_lite3,0.038008463,0.9,1.6614413,efficientnet,None
258,densenet121,0.034180164,0.9,5.5093934,None,None
154,tinynet_e,0.03763251,0.899671078,0.1599902,tinynet,None
227,mobilenetv2_110d,0.034461029,0.898026288,0.84417,mobilenet,None
308,gluon_inception_v3,0.041781921,0.898026288,5.6948784,None,None
198,fbnetv3_g,0.03929764,0.897646725,2.0719056,mobilenet,None
181,mobilenetv2_120d,0.033494674,0.897267163,1.3208529,mobilenet,None
93,regnety_120,0.043990087,0.896381557,7.4321903,regular network (Designing Network Design Spaces),None
